client_id,name,new_client_id,subcontractor id,x
129940,"Kingdom of Saudi Arabia, Ministry of Commerce & Industry",,,x
129798,Kingdom of Thailand,,,x
130043,"KMT-PEP Representative Office, USA",,,x
130151,Korea Business Center,,,x
129826,Korea Institute for International Economic Policy (KIEP),,,x
129795,Korea International Trade Association,,,x
130080,"Korea Local Government Center (KLAFIR, America)",,,x
129792,Korea Tourism Organization,,,x
129743,Korea Trade - Investment Promotion Agency (KOTRA),,,x
130063,Korea Trade Center,,,x
130246,"Korean Broadcasting System (through e-KBS Co., Ltd. and KBS Media, Ltd.)",,,x
129953,Kurdistan Regional Government (previously known as Kurdish Democratic Party),,,x
130105,La Fundacion Siglo XXI,,,x
130323,"Laura Chinchilla Miranda, the nominee of the Partido Liberacion Nacional (The National Liberation Pa",,,x
130057,Lebanese Option Gathering,,,x
130165,"Litvinenko Justice Foundation, London, UK",,,x
129915,Lloyd's of London Market Representatives,,,x
130287,Luxembourg Board of Economic Development,,,x
129790,Malaysia Tourism Promotion Board,,,x
129781,Malaysian Industrial Development Authority,,,x
129866,Malaysian Palm Oil Promotion Council,,,x
129957,Malaysian Rubber Export Promotion Council (MREPC),,,x
129816,Manufactured Imports and Investment Promotion Organization (MIPRO),,,x
129972,"Mauritius Ministry of Foreign Affairs, International Trade and Cooperation",,,x
129888,Meat Industry Association of New Zealand,,,x
129772,Mexican Ministry Of Tourism,,,x
130232,Mexico Tourism Board,,,x
130356,MIDAS - Manchester Investment Development Agency Service,,,x
130171,Milanka and Bogoljub Karic,,,x
130329,"Milanka Karic, Bogoljub Karic, and Dragomir Karic",,,x
130123,Mims d.o.o.,,,x
130025,Minister of State for Presidential Affairs Office of the President of Liberia,,,x
130046,"Ministry of Commerce, Government of Pakistan",,,x
130375,"Ministry of Communication, Republic of Tunisia",,,x
130370,"Ministry of Coordination of Production, Employment, and Competitiveness; Republic of Ecuador",,,x
130352,"Ministry of Education and Vocational Trust, United Republic of Tanzania",,,x
130015,Ministry of Foreign Affairs and Culture Republic of Bolivia,,,x
130050,Ministry of Foreign Affairs Columbia,,,x
129908,Ministry of Foreign Affairs of the Republic of Azerbaijan,,,x
130012,"Ministry of Foreign Affairs, Islamic Republic of Iran",,,x
129994,"Ministry of Foreign Relations, Republic of Panama",,,x
129848,Ministry of Industry and Trade of the Government of Vietnam,,,x
130052,"Ministry of Labour, Hashemite Kingdom of Jordan",,,x
129759,"Ministry of Small Enterprise, Trade and Tourism",,,x
130138,Ministry of Tourism St. Vincent & The Grenadines,,,x
129913,Ministry of Trade and Industry - Arab Republic of Egypt and Alexandria Cotton Exporters (Alcotexa),,,x
130245,MIRA - Movimiento Independiente De Renovacion Absoluta,,,x
129779,Monaco Government Tourist Office,,,x
130109,Moroccan American Center for Policy,,,x
129752,Moroccan National Tourist Office Headquarter In Morroco,,,x
129960,Mr. Ahmed Ezz,,,x
130340,Mr. Oleg Deripaska,,,x
130119,"Mr. Seyed Hossein Gholami, Third Counselor, Mission of the Islamic Republic of Iran to the UN",,,x
130160,National Coalition Government of the Union of Burma,,,x
130241,National Security Council of Georgia,,,x
130158,NCB Finetechproject,,,x
130059,Netherlands Board Of Tourism & Conventions (NBTC) Vlietweg 15,,,x
129981,Netherlands Foreign Investment Agency,,,x
130288,New Century Media,,,x
130193,New Zealand Meat Board (NZMB),,,x
130230,"NHK Cosmomedia America, Inc.",,,x
129852,Northwest Development Agency,,,x
129740,"Novartis, A.G.",,,x
130214,Oerlikon Solar,,,x
